subindex;eventindex;Animacytype;TypeNum;RT;list;response reverted;response;root;scenario;text;wordlength
1;14;Animal;1;1359,18;1;7;1;fair_a.jpg;10;fair ;5
1;16;Animal;1;690,17;1;7;1;cool_a.jpg;7;cool ;5
1;20;Animal;1;1612,65;1;7;1;hot_a.jpg;15;hot ;4
1;46;Animal;1;1434,37;1;7;1;lame_a.jpg;20;lame ;5
1;52;Animal;1;1238,23;1;7;1;huge_a.jpg;16;huge;4
1;62;Animal;1;1114,88;1;7;1;anxious_a.jpg;3;anxious;7
1;68;Animal;1;792,25;1;7;1;basic_a.jpg;5;basic ;6
1;88;Animal;1;848,23;1;7;1;aggresive_a.jpg;1;aggresive ;10
1;96;Animal;1;1350,21;1;7;1;ideal_a.jpg;17;ideal ;6
1;126;Animal;1;982,26;1;7;1;classic_a.jpg;6;classic ;8
1;130;Animal;1;844,19;1;7;1;great_a.jpg;12;great ;6
1;140;Animal;1;4326,11;1;7;1;extraordinairy_a.jpg;9;extraordinairy;14
1;144;Animal;1;1228,65;1;7;1;impressive_a.jpg;18;impressive ;11
1;158;Animal;1;1189,03;1;7;1;amazing_a.jpg;2;amazing ;8
1;164;Animal;1;774,49;1;7;1;handsome_a.jpg;13;handsome;8
1;170;Animal;1;1171,33;1;7;1;cute_a.jpg;8;cute ;5
1;226;Animal;1;2504,53;1;7;1;interesting_a.jpg;19;interesting ;12
1;232;Animal;1;1215,39;1;7;1;good_a.jpg;11;good;4
1;234;Animal;1;748,84;1;7;1;awesome_a.jpg;4;awesome ;8
1;244;Animal;1;788,78;1;7;1;heavy_a.jpg;14;heavy ;6
2;8;Animal;1;4656,79;2;7;1;quick_a.jpg;29;quick ;6
2;10;Animal;1;1449,82;2;7;1;peaceful_a.jpg;27;peaceful ;9
2;14;Animal;1;2193,52;2;7;1;solid_a.jpg;33;solid ;6
2;20;Animal;1;5283,65;2;7;1;ugly_a.jpg;37;ugly ;5
2;62;Animal;1;873,69;2;7;1;odd_a.jpg;23;odd ;4
2;80;Animal;1;2034,28;2;6;2;tall_a.jpg;36;tall ;5
2;112;Animal;1;915,17;2;7;1;plain_a.jpg;28;plain ;6
2;122;Animal;1;1207,38;2;7;1;stunning_a.jpg;34;stunning ;9
2;126;Animal;1;732,5;2;7;1;wild_a.jpg;39;wild;4
2;134;Animal;1;709,84;2;7;1;modern_a.jpg;22;modern;6
2;146;Animal;1;845,38;2;7;1;loud_a.jpg;21;loud ;5
2;152;Animal;1;936,99;2;7;1;rare_a.jpg;31;rare ;5
2;164;Animal;1;823,74;2;7;1;ordinary_a.jpg;26;ordinary ;9
2;170;Animal;1;759,26;2;7;1;okay_a.jpg;24;okay ;5
2;188;Animal;1;975,21;2;7;1;wonderful_a.jpg;40;wonderful ;10
2;192;Animal;1;818,73;2;7;1;radient_a.jpg;30;radient ;8
2;208;Animal;1;2201,41;2;7;1;weird_a.jpg;38;weird ;6
2;216;Animal;1;747,19;2;7;1;sweet_a.jpg;35;sweet ;6
2;224;Animal;1;617,69;2;2;6;old_a.jpg;25;old;3
2;236;Animal;1;1074,94;2;7;1;small_a.jpg;32;small ;6
3;2;Animal;1;4131,33;1;7;1;lame_a.jpg;20;lame ;5
3;10;Animal;1;1266,91;1;7;1;ideal_a.jpg;17;ideal ;6
3;28;Animal;1;3930,74;1;7;1;awesome_a.jpg;4;awesome ;8
3;30;Animal;1;1005,09;1;7;1;impressive_a.jpg;18;impressive ;11
3;46;Animal;1;732,4;1;7;1;great_a.jpg;12;great ;6
3;52;Animal;1;650,01;1;7;1;fair_a.jpg;10;fair ;5
3;64;Animal;1;593,4;1;7;1;hot_a.jpg;15;hot ;4
3;78;Animal;1;697,56;1;7;1;basic_a.jpg;5;basic ;6
3;120;Animal;1;975,41;1;7;1;anxious_a.jpg;3;anxious;7
3;130;Animal;1;782,47;1;7;1;handsome_a.jpg;13;handsome;8
3;138;Animal;1;544,75;1;7;1;interesting_a.jpg;19;interesting ;12
3;142;Animal;1;816,59;1;7;1;extraordinairy_a.jpg;9;extraordinairy;14
3;162;Animal;1;657,16;1;7;1;good_a.jpg;11;good;4
3;194;Animal;1;671,29;1;7;1;heavy_a.jpg;14;heavy ;6
3;216;Animal;1;886,77;1;7;1;cool_a.jpg;7;cool ;5
3;220;Animal;1;1095,94;1;7;1;amazing_a.jpg;2;amazing ;8
3;222;Animal;1;700,76;1;7;1;aggresive_a.jpg;1;aggresive ;10
3;226;Animal;1;815,62;1;7;1;cute_a.jpg;8;cute ;5
3;232;Animal;1;674,46;1;7;1;classic_a.jpg;6;classic ;8
3;246;Animal;1;607,12;1;7;1;huge_a.jpg;16;huge;4
4;18;Animal;1;4361,29;2;7;1;peaceful_a.jpg;27;peaceful ;9
4;26;Animal;1;1935,06;2;7;1;ordinary_a.jpg;26;ordinary ;9
4;66;Animal;1;1089,86;2;7;1;plain_a.jpg;28;plain ;6
4;104;Animal;1;2060,6;2;6;2;wonderful_a.jpg;40;wonderful ;10
4;116;Animal;1;747,47;2;7;1;modern_a.jpg;22;modern;6
4;120;Animal;1;1403,16;2;7;1;tall_a.jpg;36;tall ;5
4;122;Animal;1;994,14;2;7;1;radient_a.jpg;30;radient ;8
4;128;Animal;1;1311,28;2;7;1;wild_a.jpg;39;wild;4
4;148;Animal;1;2092,41;2;4;4;okay_a.jpg;24;okay ;5
4;150;Animal;1;935,47;2;6;2;solid_a.jpg;33;solid ;6
4;152;Animal;1;1223,44;2;6;2;ugly_a.jpg;37;ugly ;5
4;154;Animal;1;930,64;2;5;3;quick_a.jpg;29;quick ;6
4;156;Animal;1;819,43;2;4;4;sweet_a.jpg;35;sweet ;6
4;162;Animal;1;1259,98;2;7;1;odd_a.jpg;23;odd ;4
4;170;Animal;1;1651,2;2;5;3;old_a.jpg;25;old;3
4;200;Animal;1;786,09;2;7;1;small_a.jpg;32;small ;6
4;208;Animal;1;2044,29;2;7;1;loud_a.jpg;21;loud ;5
4;230;Animal;1;1292,12;2;6;2;rare_a.jpg;31;rare ;5
4;234;Animal;1;1194,35;2;5;3;weird_a.jpg;38;weird ;6
4;250;Animal;1;4667,75;2;4;4;stunning_a.jpg;34;stunning ;9
5;2;Animal;1;1864,11;1;7;1;huge_a.jpg;16;huge;4
5;20;Animal;1;1773,82;1;7;1;awesome_a.jpg;4;awesome ;8
5;22;Animal;1;1037,3;1;7;1;great_a.jpg;12;great ;6
5;40;Animal;1;4317,43;1;5;3;handsome_a.jpg;13;handsome;8
5;90;Animal;1;1105,46;1;7;1;good_a.jpg;11;good;4
5;92;Animal;1;2814,88;1;5;3;impressive_a.jpg;18;impressive ;11
5;116;Animal;1;784,16;1;7;1;ideal_a.jpg;17;ideal ;6
5;128;Animal;1;831,88;1;7;1;fair_a.jpg;10;fair ;5
5;146;Animal;1;707,79;1;7;1;aggresive_a.jpg;1;aggresive ;10
5;148;Animal;1;691,71;1;7;1;amazing_a.jpg;2;amazing ;8
5;150;Animal;1;1330,35;1;7;1;cute_a.jpg;8;cute ;5
5;152;Animal;1;631,76;1;7;1;hot_a.jpg;15;hot ;4
5;162;Animal;1;678,4;1;7;1;basic_a.jpg;5;basic ;6
5;172;Animal;1;740,44;1;7;1;classic_a.jpg;6;classic ;8
5;184;Animal;1;904,4;1;7;1;extraordinairy_a.jpg;9;extraordinairy;14
5;204;Animal;1;991,19;1;7;1;cool_a.jpg;7;cool ;5
5;208;Animal;1;652,84;1;7;1;interesting_a.jpg;19;interesting ;12
5;210;Animal;1;688,27;1;7;1;anxious_a.jpg;3;anxious;7
5;216;Animal;1;1042,21;1;7;1;heavy_a.jpg;14;heavy ;6
5;240;Animal;1;663,9;1;7;1;lame_a.jpg;20;lame ;5
6;6;Animal;1;1328,23;1;7;1;basic_a.jpg;5;basic ;6
6;46;Animal;1;1698,15;1;7;1;extraordinairy_a.jpg;9;extraordinairy;14
6;52;Animal;1;1388,31;1;7;1;lame_a.jpg;20;lame ;5
6;60;Animal;1;1947,8;1;7;1;heavy_a.jpg;14;heavy ;6
6;64;Animal;1;690,76;1;7;1;anxious_a.jpg;3;anxious;7
6;74;Animal;1;1098,53;1;7;1;interesting_a.jpg;19;interesting ;12
6;84;Animal;1;1446,53;1;7;1;aggresive_a.jpg;1;aggresive ;10
6;86;Animal;1;797,37;1;7;1;amazing_a.jpg;2;amazing ;8
6;94;Animal;1;1346,65;1;5;3;awesome_a.jpg;4;awesome ;8
6;118;Animal;1;1277,7;1;7;1;ideal_a.jpg;17;ideal ;6
6;124;Animal;1;1124,5;1;7;1;cute_a.jpg;8;cute ;5
6;130;Animal;1;944,68;1;7;1;fair_a.jpg;10;fair ;5
6;144;Animal;1;1079,5;1;7;1;handsome_a.jpg;13;handsome;8
6;170;Animal;1;939,11;1;7;1;huge_a.jpg;16;huge;4
6;196;Animal;1;1458,33;1;7;1;good_a.jpg;11;good;4
6;198;Animal;1;816,74;1;7;1;great_a.jpg;12;great ;6
6;204;Animal;1;1647,47;1;7;1;cool_a.jpg;7;cool ;5
6;208;Animal;1;965,14;1;7;1;impressive_a.jpg;18;impressive ;11
6;210;Animal;1;765,06;1;7;1;hot_a.jpg;15;hot ;4
6;244;Animal;1;1196,37;1;7;1;classic_a.jpg;6;classic ;8
7;14;Animal;1;962,32;1;7;1;fair_a.jpg;10;fair ;5
7;18;Animal;1;1324,41;1;7;1;anxious_a.jpg;3;anxious;7
7;32;Animal;1;741,14;1;7;1;basic_a.jpg;5;basic ;6
7;38;Animal;1;1687,14;1;7;1;interesting_a.jpg;19;interesting ;12
7;52;Animal;1;857,33;1;7;1;heavy_a.jpg;14;heavy ;6
7;60;Animal;1;723,56;1;7;1;handsome_a.jpg;13;handsome;8
7;66;Animal;1;3532,11;1;7;1;extraordinairy_a.jpg;9;extraordinairy;14
7;72;Animal;1;805,3;1;7;1;great_a.jpg;12;great ;6
7;80;Animal;1;727,95;1;7;1;cute_a.jpg;8;cute ;5
7;112;Animal;1;1166,1;1;7;1;ideal_a.jpg;17;ideal ;6
7;132;Animal;1;824,06;1;7;1;lame_a.jpg;20;lame ;5
7;138;Animal;1;683,25;1;7;1;cool_a.jpg;7;cool ;5
7;154;Animal;1;669,65;1;7;1;classic_a.jpg;6;classic ;8
7;180;Animal;1;681,92;1;7;1;impressive_a.jpg;18;impressive ;11
7;182;Animal;1;631,11;1;7;1;hot_a.jpg;15;hot ;4
7;194;Animal;1;695,9;1;7;1;amazing_a.jpg;2;amazing ;8
7;208;Animal;1;721,28;1;7;1;good_a.jpg;11;good;4
7;222;Animal;1;787,4;1;7;1;awesome_a.jpg;4;awesome ;8
7;240;Animal;1;508,69;1;7;1;aggresive_a.jpg;1;aggresive ;10
7;242;Animal;1;489,14;1;7;1;huge_a.jpg;16;huge;4
8;4;Animal;1;1677,07;1;7;1;anxious_a.jpg;3;anxious;7
8;20;Animal;1;913,83;1;7;1;awesome_a.jpg;4;awesome ;8
8;22;Animal;1;889,88;1;7;1;aggresive_a.jpg;1;aggresive ;10
8;30;Animal;1;947,66;1;7;1;basic_a.jpg;5;basic ;6
8;36;Animal;1;1539;1;7;1;cool_a.jpg;7;cool ;5
8;62;Animal;1;928,22;1;7;1;good_a.jpg;11;good;4
8;66;Animal;1;931,15;1;7;1;ideal_a.jpg;17;ideal ;6
8;80;Animal;1;600,27;1;7;1;handsome_a.jpg;13;handsome;8
8;86;Animal;1;602,05;1;7;1;cute_a.jpg;8;cute ;5
8;98;Animal;1;3557,56;1;6;2;extraordinairy_a.jpg;9;extraordinairy;14
8;118;Animal;1;802,93;1;7;1;huge_a.jpg;16;huge;4
8;120;Animal;1;538,04;1;7;1;amazing_a.jpg;2;amazing ;8
8;122;Animal;1;729,07;1;7;1;fair_a.jpg;10;fair ;5
8;128;Animal;1;567,47;1;7;1;interesting_a.jpg;19;interesting ;12
8;154;Animal;1;569,1;1;7;1;great_a.jpg;12;great ;6
8;166;Animal;1;604,58;1;7;1;lame_a.jpg;20;lame ;5
8;170;Animal;1;1481,34;1;7;1;hot_a.jpg;15;hot ;4
8;178;Animal;1;546,66;1;7;1;heavy_a.jpg;14;heavy ;6
8;232;Animal;1;652,47;1;7;1;classic_a.jpg;6;classic ;8
8;236;Animal;1;765,06;1;7;1;impressive_a.jpg;18;impressive ;11
9;20;Animal;1;903,51;2;7;1;peaceful_a.jpg;27;peaceful ;9
9;76;Animal;1;1244,59;2;7;1;tall_a.jpg;36;tall ;5
9;100;Animal;1;768,97;2;7;1;wonderful_a.jpg;40;wonderful ;10
9;112;Animal;1;1074,48;2;7;1;ugly_a.jpg;37;ugly ;5
9;128;Animal;1;1049,72;2;7;1;weird_a.jpg;38;weird ;6
9;148;Animal;1;1170,4;2;7;1;plain_a.jpg;28;plain ;6
